ASF,g,stdX,stdY,stdZ
0,9.12906498719681,0.060090869879929,0.0378314360985767,0.0915545872938043
0,9.77105940853834,0.0885861779578489,0.0366531732255105,0.0923903816836635
0,9.45898294875992,0.0373215140800128,0.0321626746264472,0.0769826395327702
1,9.07425583945231,0.0445322226961046,0.0325779697278495,0.0882907090045413
1,9.76315416733377,0.0665494287455295,0.0330860478703894,0.0873117743942224
1,9.44012546453688,0.0399539784228538,0.043031844219869,0.0886263842161256
2,9.19616616368453,0.0438727346439578,0.0375524498994936,0.0901669836659191
2,9.73359625167109,0.0851840882059181,0.0442741230102689,0.256238634459228
2,10.3133132449206,0.0731588624944083,0.0484459642997205,0.0845236337725647
3,9.12630924735041,0.0438707963430961,0.0352688315776006,0.0735325258932883
3,9.78943947206606,0.0638448865674172,0.03625427694979,0.0934753543112596
3,9.44383051063864,0.0418595157243323,0.0435609710021384,0.0799676360396499
