# time	Temp	AccX	AccY	AccZ	GyrX	GyrY	GyrZ
3.199195861816406250e-02 3.201235294117647356e+01 4.477157104492187067e-01 -9.816226806640623859e-02 9.119514123535156003e+00 -2.319335937500000000e+00 -3.967285156250000000e-01 7.751464843750000000e+00
1.561644077301025391e-01 3.210647058823529676e+01 3.878606689453124590e-01 -6.703764648437499085e-02 9.088389501953123784e+00 -2.227783203125000000e+00 -1.007080078125000000e+00 1.831054687500000000e-01
3.928048610687255859e-01 3.220058823529411995e+01 3.902548706054687067e-01 -7.422025146484374780e-02 9.045293872070311991e+00 -2.441406250000000000e+00 -4.577636718750000000e-01 0.000000000000000000e+00
4.691703319549560547e-01 3.220058823529411995e+01 3.591302490234374867e-01 -7.900865478515624318e-02 9.265560424804686335e+00 -2.227783203125000000e+00 -8.239746093750000000e-01 2.441406250000000000e-01
5.369865894317626953e-01 3.224764705882353155e+01 3.160346191406249727e-01 -9.816226806640623859e-02 9.071630090332030605e+00 -2.624511718750000000e+00 -6.103515625000000000e-01 3.356933593750000000e-01
6.043102741241455078e-01 3.215352941176470836e+01 3.232172241210937158e-01 -1.292868896484374863e-01 9.102754711914062824e+00 -2.624511718750000000e+00 7.446289062500000000e+00 2.441406250000000000e-01
6.703696250915527344e-01 3.224764705882353155e+01 3.567360473632812390e-01 -5.506663818359374546e-02 9.071630090332030605e+00 -2.471923828125000000e+00 -3.051757812500000000e-01 2.746582031250000000e-01
7.366499900817871094e-01 3.224764705882353155e+01 3.615244506835937344e-01 -7.661445312499999549e-02 9.174580761718749145e+00 -2.319335937500000000e+00 -5.493164062500000000e-01 2.136230468750000000e-01
8.047158718109130859e-01 3.234176470588235475e+01 4.118026855468749914e-01 -8.379705810546873856e-02 9.117119921875000088e+00 -2.410888671875000000e+00 -2.136230468750000000e-01 1.525878906250000000e-01
8.931436538696289062e-01 3.229470588235294315e+01 3.830722656249999636e-01 -8.379705810546873856e-02 9.112331518554686483e+00 -2.746582031250000000e+00 -1.831054687500000000e-01 3.051757812500000000e-01
