

New Data Dump

PWR_MGM	ACC_CONF	GYR_CONF	SAM_RATE
0	0	8	100
TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-3296	16404	-3344	-1100	2007	-1656	1233
-3280	15504	-4756	-308	-498	-5432	-926
-3248	15088	-5804	-5460	1489	-3754	-330
-3280	15796	-6000	-9528	-5689	2642	-783
-3296	14560	-2756	-9040	-468	-1291	-1899
-3280	13096	988	-4300	-1991	5214	-186
-3264	13144	-5064	1136	2756	3249	4014
-3280	24036	-11416	-5164	4658	-10913	7571
-3264	8004	-16244	-9924	9197	4178	3786
-3296	7824	-14800	5340	7342	24331	1299
-3296	23604	-12204	-3100	-1137	2832	-4696
-3280	17388	-6756	-1256	-598	452	-917
-3280	16264	-6468	5756	1378	4546	-2247
-3280	13220	-2304	4944	178	2738	-972
-3280	17328	-3432	3172	4763	-1168	607
-3312	27364	1040	1276	-301	4447	284
-3280	15440	-5572	3536	-1709	1512	378
-3280	16788	-3024	-748	12	168	53
-3280	16672	-3244	-1132	-44	137	88
-3264	16712	-3304	-788	-31	122	75
-3312	16888	-3136	-972	-35	115	69
-3264	16832	-3128	-1004	-50	120	57
-3280	16460	-3124	-836	-33	133	63
-3264	16780	-3080	-788	-47	130	75
-3248	16680	-3100	-904	-41	149	80
-3312	16784	-3132	-968	-41	127	61
-3312	16516	-3316	-720	-41	91	60
-3296	16724	-3084	-968	-32	131	86
-3280	16596	-3140	-980	-36	122	74
-3264	16696	-3148	-832	-45	118	74
-3296	16728	-3016	-1020	-50	120	65
-3280	16888	-3028	-960	-32	144	51
-3296	16660	-3068	-804	-30	124	73
-3280	16640	-3284	-1024	-37	110	80
-3264	16876	-3264	-1116	-54	128	76
-3296	16880	-3124	-1188	-40	118	78
-3280	16656	-3316	-776	-35	130	69
-3296	16672	-3088	-992	-28	127	72
-3312	16688	-3088	-1152	-38	124	77
-3280	16764	-3088	-792	-38	145	55
-3280	16700	-3184	-1280	-33	123	77
-3328	16640	-3080	-1008	-40	134	77
-3280	16688	-3328	-1252	-36	119	70
-3328	16736	-3104	-856	-41	107	68
-3312	16680	-3084	-956	-38	123	70
-3296	16740	-3136	-1244	-42	129	75
-3248	16752	-3132	-880	-45	104	75
-3296	16680	-3184	-804	-47	123	69
-3312	16780	-3148	-1232	-38	120	74
-3296	16780	-2860	-976	-41	125	79
-3296	16848	-3132	-996	-35	116	70
-3280	16696	-3236	-872	-39	117	68
-3280	16712	-3096	-988	-38	122	77
-3312	16840	-3096	-956	-41	133	74
-3296	16740	-3268	-1012	-40	115	77
-3280	16668	-3104	-1208	-47	130	79
-3296	16700	-2832	-892	-42	127	81
-3264	16708	-3132	-956	-37	127	75
-3280	16704	-3184	-776	-30	120	68
-3312	16868	-3312	-916	-37	125	59
-3280	16640	-3116	-1180	-38	120	70
-3248	16712	-3292	-800	-53	121	79
-3264	16672	-3108	-868	-52	116	71
-3280	16720	-3108	-804	-46	134	72
-3296	16724	-3084	-1252	-41	120	74
-3312	16648	-2832	-892	-48	131	81
-3264	16624	-3124	-984	-33	137	77
-3280	16720	-3184	-1172	-35	127	75
-3296	16880	-3044	-880	-27	131	76
-3312	16884	-3140	-1208	-34	128	71
-3296	16700	-3076	-868	-42	118	66
-3312	16876	-3152	-896	-31	120	66
-3312	16424	-3060	-940	-41	118	60
-3328	16844	-3156	-856	-39	130	67
-3312	16724	-3308	-1104	-56	124	80
-3328	16740	-3156	-796	-38	129	79
-3312	16852	-3124	-928	-33	124	72
-3296	16760	-3152	-1044	-29	114	76
-3280	16720	-3168	-948	-31	124	81
-3296	16868	-3076	-772	-35	128	66
-3296	16848	-3092	-1220	-49	115	59
-3312	16876	-3260	-984	-36	120	74
-3296	16688	-3068	-980	-39	123	89
-3312	16396	-2844	-1024	-41	117	74
-3328	16876	-3328	-912	-37	123	80
-3312	16448	-3084	-916	-43	113	76
-3312	16704	-3128	-944	-41	105	68
-3328	16684	-3132	-924	-42	117	73
-3280	16664	-2876	-872	-35	128	70
-3264	16664	-3148	-1160	-31	119	70
-3312	16420	-2880	-800	-45	112	73
-3312	16704	-3312	-824	-44	108	71
-3296	16692	-3048	-1152	-40	118	76
-3312	16412	-3132	-860	-32	131	67
-3328	16692	-3100	-848	-30	126	70
-3328	16696	-3124	-1244	-32	95	78
-3312	16708	-3132	-1068	-31	117	76
-3280	16680	-3084	-980	-31	114	71
-3280	16672	-3228	-1008	-48	123	77
-3296	16492	-2860	-1244	-36	136	72
-3312	16472	-3100	-1236	-40	122	65
-3264	16412	-3304	-1024	-35	126	82
-3296	16720	-3064	-1264	-41	116	69
-3296	16648	-3040	-1036	-30	120	57
-3280	16660	-3128	-916	-36	118	73
-3296	16752	-3124	-820	-29	122	77
-3280	16848	-3164	-1248	-34	114	68
-3296	16712	-2864	-880	-37	122	71
-3280	16892	-3112	-948	-33	132	75
-3280	16616	-3212	-1356	-28	134	80
-3312	16108	-3084	-272	-63	110	63
-3088	16636	-3096	-904	-45	143	80
-3264	16648	-2820	-1128	-45	144	70
-3280	16712	-3112	-992	-32	115	81
-3296	16616	-3272	-880	-41	123	74
-3296	16660	-3148	-1256	-37	113	80
-3264	16664	-3304	-784	-38	130	73
-3296	16856	-3096	-812	-37	131	78
-3296	16688	-3092	-1236	-40	128	79
-3280	16784	-3080	-932	-37	120	71
-3088	16428	-3104	-1104	-44	124	67
-3312	16436	-3044	-784	-41	134	69
-3312	16752	-2908	-928	-45	139	79
-3296	16888	-3108	-932	-40	126	77
-3312	16696	-3156	-904	-45	125	87
-3280	16480	-2856	-908	-33	133	76
-3280	16440	-3136	-996	-49	130	77
-3280	16448	-3136	-956	-49	129	80
-3552	16752	-3152	-856	-39	112	76
-3296	16640	-3120	-816	-41	106	62
-3296	16880	-3104	-784	-41	131	65
-3280	16704	-3328	-1212	-49	117	66
-3312	16484	-3312	-696	-64	100	65
-3296	16664	-3056	-1272	-43	152	67
-3328	16876	-3144	-812	-31	123	77
-3296	15740	-3212	-220	-121	481	541
-3264	16800	-3148	-448	55	-878	40
-3136	15952	-3712	-1116	-307	2803	949
-3056	16696	-3508	-1536	496	72	-133
-2960	16476	-2072	-1260	-413	182	351
-2880	16468	-3092	-1448	246	239	132
-2848	16452	-3104	-1468	-56	-1	67
-2800	17692	-3064	-1620	94	9	125
-2736	16796	-3136	-1300	-31	176	29
-2704	16244	-3288	-1372	27	-38	130
-2656	16712	-3228	-1480	-79	351	13
-2624	16864	-3192	-1308	-12	304	96
-2816	16584	-2820	-1368	-16	112	99
-2528	16572	-3120	-1204	43	-98	73
-2512	16804	-3264	-1320	-86	60	52
-2512	16520	-3260	-1652	-108	44	134
-2464	16672	-3132	-2036	-86	125	54
-2464	16544	-3004	-1756	-60	83	92
-2400	16652	-3304	-1368	-6	158	59
-2416	16480	-3168	-1336	-145	151	109
-2368	16840	-2872	-1464	-42	212	90
-2368	16852	-2832	-1364	-18	488	93
-2560	16704	-2996	-1748	-1	117	42
-2560	17080	-2716	-1024	868	739	-233
-2080	26552	-5428	-3736	75	-301	-1
-2352	16680	-2880	-2556	-41	149	77
-2400	16440	-3252	-1900	-45	76	71
-2432	16620	-3196	-2408	-31	117	74
-2448	16848	-3188	-2512	-43	129	77
-2512	16588	-3068	-2440	-36	55	80
-2512	16404	-3328	-2064	-39	88	78
-2512	16480	-3028	-2148	-36	125	67
-2560	16552	-3248	-2192	-30	118	70
-2336	16592	-3068	-2296	-36	130	81
-2816	16392	-2832	-2132	-45	109	75
-2608	16544	-2836	-2352	-36	113	59
-2576	16588	-2916	-2228	-37	122	71
-2576	16384	-3300	-2252	-30	124	70
-2608	16508	-3144	-2164	-30	126	87
-2800	16560	-3296	-2284	-38	115	78
-2608	16536	-3048	-2168	-35	125	68
-2608	16532	-3140	-2264	-45	139	79
-2608	16604	-3076	-2292	-25	129	79
-2656	16812	-3324	-2228	-21	118	68
-2640	16832	-2832	-2436	-38	126	81
-2576	16568	-3072	-2192	-45	116	81
-2640	16688	-3132	-2552	-36	192	77
-2640	16608	-3152	-2096	-45	128	87
-2608	16388	-2968	-2240	-31	120	83
-2608	16532	-3324	-2132	-25	124	69
-2640	16612	-3108	-2212	-37	116	87
-2640	16836	-3224	-2328	-40	123	71
-2672	16628	-3080	-2088	-41	130	67
-2640	16836	-2868	-2136	-33	121	64
-2640	16592	-3308	-2256	-41	117	74
-2608	16552	-2908	-2192	-40	118	79
-2640	16572	-3312	-2216	-41	127	79
-2640	16388	-3280	-2236	-40	129	70
-2640	16600	-3320	-2128	-21	119	75
-2672	16544	-3164	-1932	-35	132	80
-2672	16384	-3100	-2516	-34	117	83
-2672	16540	-3320	-2272	-30	117	72
-2672	16580	-3160	-2148	-33	118	85
-2704	16628	-3304	-2068	-27	117	70
-2672	16632	-3328	-2220	-45	131	78
-2672	16624	-3300	-2224	-41	132	69
-2704	16552	-2864	-2068	-21	124	76
-2704	16588	-3108	-2304	-40	127	75
-2672	16608	-3128	-1912	-34	108	65
-2704	16600	-3160	-2208	-54	115	68
-2672	16884	-2880	-2084	-42	115	79
-2704	16592	-2928	-2304	-35	122	80
-2704	16444	-3268	-2204	-35	111	63
-2672	16388	-3160	-2116	-41	132	70
-2704	16500	-3120	-2164	-36	131	62
-2704	16412	-3076	-2248	-23	110	70
-2736	16588	-3304	-2192	-37	125	76
-2736	16556	-3092	-2172	-32	118	66
-2704	16480	-3084	-2284	-40	132	78
-2736	16480	-2848	-2488	-39	127	81
-2688	16804	-2864	-2196	-40	127	80
-2720	16792	-3304	-2256	-43	134	64
-2720	16616	-2888	-2184	-48	126	63
-2720	16592	-3128	-2188	-48	123	67
-2720	16508	-2916	-2240	-35	113	64
-2720	16468	-3192	-2488	-30	125	75
-2736	16592	-2820	-2056	-35	118	76
-2752	16576	-3268	-2264	-45	119	78
-2736	16504	-2856	-2096	-44	114	59
-2736	16860	-3316	-2196	-42	112	69
-2752	16504	-3184	-2232	-49	118	74
-2752	16484	-3064	-2468	-41	116	76
-2784	16492	-3184	-2136	-35	119	77
-2784	16556	-2824	-2132	-29	126	65
-2768	16624	-3044	-2464	-40	122	77
-2752	16496	-2920	-2216	-42	117	67
