
-2752	17224	-144	-1704	-72	-32	26
-2768	16928	-124	-1740	-62	-35	23
-2816	16960	-204	-1648	-83	-20	26
-2784	17036	-356	-1712	-65	-31	28
-2768	17180	-112	-1768	-72	-32	16
-2816	16940	-120	-1628	-74	-35	24
-2816	17128	-168	-1772	-76	-26	33
-2784	17112	-104	-1632	-75	-43	27
-2816	17172	-148	-2004	-79	-38	30
-2816	17336	-100	-2048	-78	-28	24
-2784	17376	-140	-1544	-75	-30	24
-2800	17204	-80	-1764	-86	-8	29
-2816	17156	-124	-1836	-72	-29	28
-2784	17148	-108	-1684	-67	-40	28
-2784	17192	-128	-1716	-73	-29	25
-2800	16984	-172	-1708	-67	-35	22
-2784	17188	-180	-1560	-75	-39	22
-2784	17220	-252	-1736	-70	-40	18
-2784	17112	-180	-1916	-70	-21	28
-2784	16976	-156	-1936	-77	-25	21
-2800	17136	-152	-1956	-66	-45	28
-2784	17176	-188	-1792	-81	-33	26
-2784	17108	-100	-1616	-65	-26	20
-2576	16936	-80	-1576	-68	-26	26
-2800	17312	-196	-1700	-69	-27	23
-2816	16896	-144	-1956	-73	-24	27
-2784	17160	-176	-1732	-66	-26	26
-2816	17176	-108	-1668	-75	-33	24
-2832	17000	-160	-1688	-72	-24	24
-2576	17160	-100	-1592	-75	-27	16
-2784	17124	-140	-1716	-68	-41	30
-2784	17324	-136	-1760	-56	-19	30
-2784	17160	-168	-1600	-76	-25	18
-2768	17152	-128	-1592	-82	-36	17
-2784	16948	-44	-1580	-70	-29	30
-2768	16896	-104	-1716	-77	-23	25
-2784	17268	-40	-1740	-74	-15	24
-2784	16912	-132	-1700	-67	-18	28
-2816	17372	-156	-1788	-66	-21	16
-2800	17400	-200	-1732	-69	-43	28
-2768	17272	-152	-1608	-82	-46	27
-2816	16900	88	-1800	-74	-36	32
-2816	17388	-128	-1968	-74	-39	23
-3056	17388	-108	-1612	-64	-40	18
-2816	16916	-104	-1852	-71	-34	22
-2800	17160	-56	-1704	-68	-30	28
-2832	17216	-48	-1968	-70	-28	23
-2816	17376	-168	-1636	-80	-42	20
-2768	17368	-144	-1784	-79	-34	25
-2768	17344	-136	-1764	-75	-40	36
-2800	17328	-116	-2008	-71	-38	24
-2768	17156	-152	-1584	-72	-30	32
-2800	17396	-148	-1832	-70	-25	20
-2816	17172	-132	-1780	-69	-44	24
-2816	16896	-96	-2032	-69	-25	21
-2800	17320	-180	-1656	-65	-39	27
-2816	17204	-124	-1616	-69	-41	22
-2800	17064	-180	-1668	-65	-44	24
-2816	16904	-196	-1628	-67	-49	23
