

New Data Dump

PWR_MGM	ACC_CONF	GYR_CONF	SAM_RATE
0	0	8	100
TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-3920	16928	-152	-1256	967	-866	-891
-3872	17040	168	-992	-941	-3843	3255
-3888	16296	-32	688	-239	-1593	-812
-3888	16888	268	676	-322	-666	-1064
-3856	16648	812	-388	2	-413	-619
-3856	17092	748	436	-191	195	842
-3840	16936	88	-348	-259	-85	-357
-3808	16948	-488	620	151	53	306
-3792	17044	-760	340	-122	-892	562
-3824	16656	-336	48	-678	424	-1180
-3808	16568	-128	752	137	-267	505
-3808	17296	-680	-100	-177	-344	-310
-3776	17148	-380	-164	-14	-33	-471
-3792	17016	-576	232	-140	-205	-149
-3776	17132	-540	24	-116	-321	-346
-3792	17220	-184	-228	39	-95	-211
-3760	17152	-20	-4	-97	-49	-125
-3744	16960	-96	-424	46	-525	452
-3760	15828	-1020	1600	-102	-217	445
-3744	17008	-572	-176	210	32	-282
-3760	16796	-392	-68	254	88	427
-3728	16988	-552	-160	-116	-181	119
-3760	17348	-912	-196	16	-124	70
-3760	17000	-788	-472	-81	-63	-172
-3712	17396	-832	-456	-142	-127	-236
-3728	17296	-424	-256	-411	-224	209
-3712	16020	-688	-3188	-6	-248	-121
-3696	16952	-504	-636	-253	156	-161
-3712	17740	-672	-40	-34	1191	862
-3728	11112	-2308	2024	111	-9	437
-3712	15888	-80	-2508	-66	900	-691
-3696	16408	-1508	1484	558	2564	-7385
-3712	16916	-440	5360	1769	5312	-943
-3696	16448	364	6760	-1407	1452	1273
-3696	13916	-20	9128	975	9031	2437
-3728	8196	1660	11528	6742	8861	-2036
-3664	3348	2012	14776	2532	6331	-983
-3712	220	5080	14444	-337	5420	-1090
-3680	-4824	4348	11624	2935	1148	-2526
-3680	-5124	4496	12844	580	10156	-3239
-3680	-9784	9124	7396	5525	5768	-3748
-3664	-13252	3972	6272	-4276	9592	-4284
-3712	-15008	4660	5236	-938	2045	1184
-3648	-19156	-620	2352	-74	5231	1973
-3664	-10492	5120	4460	-794	9620	7675
-3664	-17724	1388	-6968	481	-349	-3041
-3648	-15500	1228	-3348	-2720	-777	610
-3648	-15768	1588	-5056	-205	751	207
-3632	-14820	1412	-4100	334	-748	-1466
-3648	-14616	1312	-4084	43	-271	-361
-3632	-15472	1044	-4092	10	-217	114
-3648	-15452	1196	-3984	71	-273	-313
-3616	-15524	1260	-4056	255	33	41
-3648	-15764	564	-3828	-14	-63	-69
-3616	-15780	1012	-4232	-156	-22	-166
-3648	-15752	1076	-4288	49	45	20
-3648	-15256	692	-3648	-106	-144	-191
-3360	-15860	792	-4264	3	21	-12
-3632	-15716	632	-4252	-87	38	54
-3600	-15572	604	-4320	-62	48	59
-3616	-15432	568	-4012	-30	43	22
-3616	-15584	596	-4268	-95	-25	197
-3600	-15560	676	-4316	-39	-19	97
-3584	-15424	600	-4104	-24	32	84
-3840	-15444	812	-4436	-48	-74	14
-3600	-15384	348	-4332	-92	-33	-27
-3584	-15508	700	-4444	-106	-15	44
-3600	-15796	660	-4520	-153	100	211
-3552	-15464	420	-4260	-115	255	-217
-3552	-15824	524	-4400	-186	53	93
-3792	-15152	656	-4548	-86	-64	-50
-3536	-15528	536	-4148	-25	-47	-56
-3584	-15376	480	-4136	-124	-55	-61
-3520	-15400	596	-4444	-110	-81	-1
-3568	-15488	700	-4120	-44	-62	-141
-3520	-15768	316	-4432	-153	-177	93
-3552	-15184	540	-4248	-48	-129	15
-3536	-15452	752	-4172	25	67	-30
-3520	-15768	612	-4036	145	-956	119
-3520	-15664	392	-3820	-621	-2480	381
-3520	-15824	760	-1600	288	-1296	-215
-3520	-15268	472	-684	-655	-1579	-735
-3488	-15112	844	464	431	-1423	-408
-3488	-15796	624	-180	-158	657	116
-3520	-15480	376	-956	311	-818	-369
-3488	-25532	-908	-8104	-459	-11984	279
-3472	-13120	96	6744	-2796	-9542	741
-3472	-9928	2420	9564	-5745	-16399	4204
-3456	-5816	-56	14456	887	183	-1405
-3488	-4460	-40	13892	1423	-2546	-20
-3456	-2612	640	11012	1955	-639	-816
-3456	-2808	1156	14344	707	867	897
-3488	-4076	1320	14748	642	-1498	1082
-3488	-3976	2032	19108	-1745	-949	-85
-3472	-920	2324	15908	-1832	-3363	207
-3472	-688	616	13752	-1280	-684	918
-3440	404	1024	16084	-228	-929	-798
-3440	960	1240	15496	-510	339	-152
-3440	1016	632	15092	369	104	-145
-3440	1120	644	15592	-46	943	-322
-3424	1132	596	15092	-113	20	52
-3456	1492	584	15320	-306	117	128
-3456	780	340	15112	-509	-117	141
-3456	928	336	15124	236	-235	15
-3440	876	412	15212	-274	-415	33
-3456	1164	468	15248	-360	-397	60
-3440	1204	184	15412	-67	2	-37
-3408	1036	0	15332	-338	-119	-39
-3424	1504	24	15060	-60	-126	-62
-3408	1172	484	15428	-75	-166	220
-3424	1452	500	15588	2	426	-165
-3440	1052	352	15224	127	232	-74
-3424	928	308	15220	-146	72	-153
-3440	852	292	15472	-335	576	102
-3424	796	180	15440	144	641	107
-3408	472	152	15456	52	-55	-242
-3392	260	104	15228	-241	-204	225
-3408	312	-212	14664	437	23	-6
-3424	792	-152	15176	-163	1465	373
-3408	456	4	15192	-176	-283	-182
-3424	704	20	15332	-161	187	170
-3376	288	96	15492	-861	-694	-162
-3392	-256	-40	15200	873	5503	575
-3424	-20	428	15364	268	-332	772
-3408	-3220	716	13464	1878	6888	615
-3392	-8044	2432	16048	-1309	-6653	-201
-3392	-6020	1112	11668	199	8554	1068
-3392	-11704	2608	8160	3281	14386	-490
-3408	-15540	4324	-600	1030	7232	527
-3392	-13184	2720	-7120	1136	6897	-722
-3344	-11960	1504	-11064	1200	9053	-253
-3392	-8836	1504	-15512	-1544	7355	-392
-3360	-4100	1724	-22416	1529	7907	478
-3376	-404	1328	-15892	1560	863	-889
-3360	452	92	-16132	-564	-2118	-11
-3392	-688	1044	-15680	-538	950	349
-3360	1708	1220	-15836	136	5019	-224
-3392	2896	-620	-16840	2021	3158	-68
-3360	4248	-796	-18780	963	-1595	-87
-3360	2996	-2268	-18980	689	-196	-312
-3376	3324	-936	-17108	-631	-1	-185
-3376	3844	-540	-17180	-383	539	-145
-3376	4464	-592	-17516	-64	71	-84
-3376	5584	816	-17648	-237	421	300
-3376	4836	304	-16388	452	-137	305
-3376	4456	-1732	-17516	-388	-229	238
-3360	5276	-1212	-12908	659	-33	-451
-3376	5004	-824	-17676	-213	225	-270
-3376	5280	-724	-17276	-312	53	-77
-3344	5032	-552	-15956	173	-133	64
-3360	4904	-868	-16956	242	-289	238
-3392	4764	176	-16620	240	-590	590
-3360	5116	-632	-16156	-77	-313	-52
-3392	4692	-1124	-17044	995	-364	-604
-3360	4048	-1664	-18748	2202	-1021	-1319
-3360	3032	-2740	-17668	693	-1824	-219
-3360	1052	-3712	-16944	993	-1531	-1322
-3376	-44	-5516	-16668	1755	-2078	-1290
-3376	-1432	-7068	-16200	4365	-4064	-4026
-3376	-2944	-10852	-14364	2807	-5386	-5631
-3360	-2572	-10928	-14132	5265	-3758	-5433
-3104	-1496	-12920	-10200	4581	-5300	-3995
-3392	-1900	-15520	-5488	3845	-5352	-3838
-3120	788	-15652	-3940	1683	-171	-1093
-3360	1228	-14504	-2304	470	-807	1531
-3408	1144	-16768	-1820	-423	-222	411
-3360	864	-17128	-2924	893	513	-377
-3392	1264	-16428	-1652	-643	-458	163
-3376	1276	-16208	-1816	94	-106	-55
-3376	976	-17148	-2272	-103	-196	-144
-3360	1364	-16788	-1840	213	36	-315
-3376	1504	-16316	-1592	254	-133	-242
-3360	1396	-16860	-1180	6	22	-45
-3376	1540	-16752	-1688	66	13	-241
-3376	1776	-16872	-1388	203	33	-235
-3376	1552	-16752	-1300	38	-2	-77
-3360	1516	-16180	-1552	61	-14	-8
-3360	1572	-16576	-1036	-17	-48	-252
-3360	1528	-16244	-1164	-66	-78	37
-3392	1308	-16616	-1524	-212	-39	-37
-3376	1304	-16640	-1740	-509	-313	216
-3360	1428	-16512	-1608	-504	-510	313
-3392	1288	-16420	-2136	-257	-45	36
-3376	1224	-16512	-2020	-576	-17	210
