TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-1920	4560	10940	9580	7734	-9452	-1820
-1936	12596	20240	5032	-2469	-6292	4007
-1952	14424	16992	7612	1592	7918	185
-1920	524	13060	-504	657	3230	-475
-1936	7060	14588	1192	274	1113	-1020
-1936	7384	14796	1596	-741	-1079	538
-1888	7308	15152	2976	-615	-1461	-609
-1920	7284	14292	2404	84	734	-243
-1920	6484	14644	2356	141	162	-32
-1904	6848	14660	2900	-168	-974	-86
-1904	7020	14532	3016	-725	109	-208
-1936	6288	14672	2688	222	329	82
-1920	6908	14600	2772	-240	-434	251
-1920	6888	14708	2780	-280	-1104	-230
-1936	6308	15200	3616	-1419	-1022	578
-1936	8176	14988	10244	-7165	7048	4639
-1920	12232	10220	13916	-8225	2185	9187
-1936	7784	1956	13680	-3992	10777	8951
-1968	1724	-2300	18092	-13308	1166	4050
-1984	-2224	-7180	12048	-18470	6481	1258
-2000	-6200	-10380	-4428	-8119	2735	3079
-1968	-8748	-11288	-3660	-3539	2486	1151
-1984	-5868	-10976	-6148	-2608	957	1822
-1984	-7924	-8752	-9152	-3586	3932	756
-1968	-4976	-8308	-13716	-4055	273	-1276
-1936	-6184	-9156	-14764	-871	1426	-1126
-1984	-5412	-8556	-13276	-533	-113	24
-1984	-6116	-8728	-14484	-658	729	388
-2000	-6024	-9376	-12552	-22	230	-3
-1968	-4632	-9692	-11788	-31	-766	152
-1952	-6664	-9944	-13284	164	-496	-125
-1920	-6420	-9560	-13176	-11	-212	167
-1984	-6760	-9376	-12868	-55	-295	242
-1968	-6592	-9372	-13152	-109	-230	-17
-1968	-6316	-9444	-12952	-44	-175	3
-1952	-6532	-9384	-12624	-93	213	-6
-1968	-6388	-9716	-13108	-110	80	-50
-1984	-6472	-9588	-12816	-108	-95	-172
-1952	-6180	-9624	-12852	-209	62	-234
-1968	-6224	-9652	-12600	-181	-186	94
-1984	-6268	-9408	-12892	-75	-38	88
-2000	-6176	-9480	-13012	-128	-69	39
-1936	-6656	-9536	-12888	-112	-101	-25
-1952	-6288	-9420	-12960	-80	-83	-29
-1952	-6492	-9584	-12976	-158	-28	150
-1936	-6524	-9456	-12992	-89	-130	62
-1984	-6704	-9436	-12972	-140	-178	-39
-1968	-6172	-9380	-13124	-178	-141	-208
-1952	-6428	-9744	-13056	827	2	578
