Time,accX,accY,accZ
140.003451347351,-9.46427916259766,-0.0526724365234375,-0.361524450683594
140.119848251343,-9.43554874267578,-0.0383072265625,-0.378283862304687
140.225641965866,-9.44991395263672,-0.028730419921875,-0.373495458984375
140.33895778656,-9.42118353271484,-0.0526724365234375,-0.428562097167969
140.441081047058,-9.65342109375,-0.0550666381835937,-0.328005627441406
140.557165622711,-9.44512554931641,-0.0885854614257812,-0.454898315429687
140.667385578156,-9.43794294433594,-0.0047884033203125,-0.383072265625
140.78683590889,-9.35654008789063,-0.0263362182617187,-0.452504113769531
140.889133930206,-9.47385596923828,-0.0742202514648437,-0.483628735351562
141.010928630829,-9.41639512939453,-0.107739074707031,-0.519541760253906
141.122179269791,-9.47864437255859,-0.05746083984375,-0.371101257324219
141.237618923187,-9.45230815429687,-0.09576806640625,-0.390254870605469
141.338566541672,-9.65342109375,-0.0430956298828125,-0.423773693847656
141.456757068634,-9.60074865722656,-0.0550666381835937,-0.313640417480469
141.56982254982,-9.46427916259766,-0.0646434448242187,-0.378283862304687
141.674670219421,-9.46427916259766,-0.100556469726563,-0.311246215820312
141.769835948944,-9.48343277587891,-0.0814028564453125,-0.526724365234375
141.878322839737,-9.47864437255859,-0.0430956298828125,-0.550666381835937
141.984705448151,-9.61750806884766,-0.01915361328125,-0.591367810058594
142.087727069855,-9.44512554931641,-0.0526724365234375,-0.380678063964844
142.192958831787,-9.46427916259766,-0.0526724365234375,-0.351947644042969
142.307069301605,-9.44512554931641,-0.0646434448242187,-0.378283862304687
142.407476902008,-9.43794294433594,-0.0454898315429687,-0.445321508789062
142.502982378006,-9.423577734375,-0.076614453125,-0.452504113769531
142.620053529739,-9.48103857421875,-0.0933738647460937,-0.371101257324219
142.722933769226,-9.47625017089844,-0.0407014282226562,-0.3447650390625
142.825460195541,-9.45709655761719,-0.0790086547851562,-0.55545478515625
142.940567731857,-9.35414588623047,-0.148440502929687,-0.395043273925781
143.042741537094,-9.43554874267578,-0.0335188232421875,-0.28730419921875
143.151158809662,-9.63666168212891,-0.0359130249023438,-0.423773693847656
143.270002126694,-9.44273134765625,-0.0742202514648437,-0.313640417480469
143.374016046524,-9.48343277587891,-0.0335188232421875,-0.447715710449219
143.486585140228,-9.36132849121094,-0.047884033203125,-0.404620080566406
143.587616682053,-9.49540378417969,-0.100556469726563,-0.4979939453125
143.707526683807,-9.35414588623047,-0.0742202514648437,-0.536301171875
143.819268465042,-9.43076033935547,-0.067037646484375,-0.385466467285156
143.92088508606,-9.34935748291016,-0.105344873046875,-0.430956298828125
144.031231403351,-9.41878933105469,-0.028730419921875,-0.308852014160156
144.136650323868,-9.47625017089844,-0.0359130249023438,-0.4213794921875
144.241590976715,-9.53131680908203,-0.0885854614257812,-0.433350500488281
144.345007658005,-9.35414588623047,-0.0646434448242187,-0.428562097167969
144.455523252487,-9.45230815429687,-0.0694318481445313,-0.586579406738281
144.571596860886,-9.46906756591797,-0.0933738647460937,-0.457292517089844
144.669629812241,-9.44512554931641,-0.05746083984375,-0.40222587890625
144.783710956573,-9.46906756591797,-0.119710083007812,-0.335188232421875
144.894951581955,-9.49540378417969,-0.067037646484375,-0.330399829101562
145.002489566803,-9.59356605224609,-0.0359130249023438,-0.430956298828125
145.103735923767,-9.47625017089844,-0.0143652099609375,-0.584185205078125
145.224159002304,-9.42836613769531,-0.0646434448242187,-0.435744702148437
145.343928098679,-9.47625017089844,-0.0742202514648437,-0.347159240722656
145.462407827377,-9.49779798583984,-0.0047884033203125,-0.445321508789062
145.558475732803,-9.44991395263672,-0.0407014282226562,-0.40222587890625
145.686084508896,-9.48103857421875,-0.047884033203125,-0.476446130371094
145.787364959717,-9.44751975097656,-0.0263362182617187,-0.335188232421875
145.912550449371,-9.49540378417969,-0.047884033203125,-0.328005627441406
