ASF,g,sigmaG
0,9.10773659945985,0.37365189722663
0,9.92236608916235,0.337881376971082
0,9.49307287526871,0.375730213236765
1,9.12100782040034,0.360565322056641
1,9.89802854499392,0.266266655200407
1,9.46388082241511,0.309155288292574
2,9.11040125500838,0.371389817872372
2,9.95860796574947,0.358994516994543
2,9.48448518680583,0.390978743735849
3,9.1650000739202,0.419192470665803
3,9.98111234733433,0.41022685711877
3,9.48387939477012,0.32528731411705
