# time	Temp	AccX	AccY	AccZ	GyrX	GyrY	GyrZ
3.161668777465820312e-02 3.267117647058823593e+01 -1.963245361328124772e-01 -5.746083984375000009e-02 9.270348828124999940e+00 -2.349853515625000000e+00 -7.080078125000000000e+00 5.828857421875000000e+00
1.727480888366699219e-01 3.281235294117647072e+01 -2.059013427734374957e-01 -1.460463012695312479e-01 9.162609753417967795e+00 -2.807617187500000000e+00 -1.220703125000000000e-01 5.737304687500000000e+00
3.984663486480712891e-01 3.281235294117647072e+01 -1.747767211914062480e-01 -1.221042846679687432e-01 9.042899670410156077e+00 -2.655029296875000000e+00 2.624511718750000000e+00 5.828857421875000000e+00
4.875915050506591797e-01 3.290647058823529392e+01 1.125274780273437386e-01 -1.675941162109374771e-01 9.212887988281249108e+00 -3.417968750000000000e+00 2.410888671875000000e+00 5.889892578125000000e+00
5.651707649230957031e-01 3.285941176470588232e+01 -1.101332763671874909e-01 -7.182604980468750011e-03 9.332598071289062602e+00 -2.685546875000000000e+00 2.746582031250000000e+00 5.798339843750000000e+00
6.490812301635742188e-01 3.290647058823529392e+01 -1.819593261718749910e-01 -5.985504150390624778e-02 9.210493786621093193e+00 -2.838134765625000000e+00 -1.312255859375000000e+00 6.683349609375000000e+00
7.190520763397216797e-01 3.295352941176470551e+01 -2.035071411132812480e-01 -4.788403320312499718e-03 9.047688073730467906e+00 -2.349853515625000000e+00 6.072998046875000000e+00 5.615234375000000000e+00
8.040144443511962891e-01 3.290647058823529392e+01 -2.466027709960937342e-01 -6.703764648437499085e-02 9.124302526855467832e+00 -3.509521484375000000e+00 -1.159667968750000000e+00 5.920410156250000000e+00
9.048676490783691406e-01 3.295352941176470551e+01 -1.915361328124999818e-01 -1.412578979492187525e-01 9.255983618164062676e+00 -2.563476562500000000e+00 -1.220703125000000000e-01 6.042480468750000000e+00
9.689755439758300781e-01 3.304764705882352871e+01 -2.130839477539062388e-01 -1.101332763671874909e-01 9.232041601562499977e+00 -3.570556640625000000e+00 7.751464843750000000e+00 5.859375000000000000e+00
1.062156438827514648e+00 3.290647058823529392e+01 -1.819593261718749910e-01 -2.226607543945312295e-01 9.076418493652342434e+00 -2.563476562500000000e+00 -7.751464843750000000e+00 6.134033203125000000e+00
1.141468524932861328e+00 3.290647058823529392e+01 -2.178723510742187341e-01 -5.985504150390624778e-02 9.222464794921874542e+00 -2.197265625000000000e+00 8.850097656250000000e-01 5.706787109375000000e+00
1.225585460662841797e+00 3.300058823529411711e+01 -1.580173095703124864e-01 -1.987187377929687249e-01 9.222464794921874542e+00 -2.471923828125000000e+00 7.476806640625000000e+00 5.767822265625000000e+00
1.298842668533325195e+00 3.304764705882352871e+01 -1.963245361328124772e-01 -1.125274780273437386e-01 9.267954626464844026e+00 -2.349853515625000000e+00 7.507324218750000000e+00 5.981445312500000000e+00
1.392215251922607422e+00 3.295352941176470551e+01 -2.322375610351562480e-01 -1.675941162109374771e-01 9.232041601562499977e+00 -2.471923828125000000e+00 -2.746582031250000000e-01 6.072998046875000000e+00
1.469309329986572266e+00 3.309470588235294031e+01 -1.436520996093750002e-02 -9.576806640624999090e-02 9.169792358398437315e+00 -2.716064453125000000e+00 -9.155273437500000000e-02 5.401611328125000000e+00
1.557587623596191406e+00 3.300058823529411711e+01 -2.202665527343749818e-01 -2.154781494140625003e-02 9.330203869628904911e+00 -2.929687500000000000e+00 -7.812500000000000000e+00 5.737304687500000000e+00
1.637913703918457031e+00 3.304764705882352871e+01 -2.154781494140624865e-01 -6.703764648437499085e-02 9.100360510253905133e+00 -2.532958984375000000e+00 1.434326171875000000e+00 4.791259765625000000e+00
1.716403961181640625e+00 3.309470588235294031e+01 -1.556231079101562387e-01 -2.561795776367187250e-01 9.153032946777342360e+00 -2.777099609375000000e+00 -3.051757812500000000e-02 4.882812500000000000e+00
1.799981117248535156e+00 3.314176470588235190e+01 -1.580173095703124864e-01 -1.268926879882812386e-01 9.188945971679686409e+00 -2.777099609375000000e+00 -4.882812500000000000e-01 5.187988281250000000e+00
1.883842706680297852e+00 3.309470588235294031e+01 -1.891419311523437341e-01 -1.484405029296874956e-01 9.203311181640623673e+00 -2.593994140625000000e+00 -3.051757812500000000e-02 4.913330078125000000e+00
1.970282316207885742e+00 3.300058823529411711e+01 -1.915361328124999818e-01 -1.388636962890625048e-01 9.090783703613281475e+00 -2.868652343750000000e+00 3.051757812500000000e-02 4.608154296875000000e+00
2.063601255416870117e+00 3.318882352941176350e+01 -3.040636108398437343e-01 -2.394201660156249772e-02 9.232041601562499977e+00 -2.593994140625000000e+00 6.713867187500000000e-01 4.425048828125000000e+00
2.151401281356811523e+00 3.314176470588235190e+01 -2.298433593750000004e-01 -1.771709228515624956e-01 9.145850341796874616e+00 -2.899169921875000000e+00 1.251220703125000000e+00 4.943847656250000000e+00
2.228176832199096680e+00 3.318882352941176350e+01 -2.154781494140624865e-01 -1.412578979492187525e-01 9.083601098632811954e+00 -2.410888671875000000e+00 4.882812500000000000e-01 4.760742187500000000e+00
2.318011283874511719e+00 3.309470588235294031e+01 -7.182604980468750011e-02 -1.460463012695312479e-01 9.105148913574218739e+00 -2.258300781250000000e+00 -6.103515625000000000e-02 4.791259765625000000e+00
2.398963928222656250e+00 3.318882352941176350e+01 -1.843535278320312387e-01 -4.548983154296874776e-02 9.078812695312500125e+00 -2.746582031250000000e+00 6.408691406250000000e-01 4.852294921875000000e+00
2.471676588058471680e+00 3.318882352941176350e+01 -1.843535278320312387e-01 -2.944868041992187435e-01 9.138667736816405096e+00 -2.532958984375000000e+00 4.577636718750000000e-01 4.669189453125000000e+00
2.547810792922973633e+00 3.314176470588235190e+01 -1.987187377929687249e-01 -1.173158813476562479e-01 9.308656054687499903e+00 -2.410888671875000000e+00 4.882812500000000000e-01 4.638671875000000000e+00
2.628626346588134766e+00 3.314176470588235190e+01 -4.070142822265624544e-02 -2.681505859374999634e-01 9.176974963378905059e+00 -2.838134765625000000e+00 1.220703125000000000e-01 5.187988281250000000e+00
2.715258598327636719e+00 3.323588235294117510e+01 -3.040636108398437343e-01 -2.442085693359374865e-01 9.150638745117186446e+00 -2.716064453125000000e+00 -7.415771484375000000e+00 4.669189453125000000e+00
2.788001060485839844e+00 3.323588235294117510e+01 -1.963245361328124772e-01 -2.944868041992187435e-01 9.289502441406249034e+00 -2.349853515625000000e+00 -2.441406250000000000e-01 4.272460937500000000e+00
2.880556583404541016e+00 3.318882352941176350e+01 -4.070142822265624544e-02 -1.221042846679687432e-01 9.050082275390623820e+00 -2.441406250000000000e+00 8.544921875000000000e-01 4.333496093750000000e+00
2.958838224411010742e+00 3.309470588235294031e+01 -1.675941162109374771e-01 -1.484405029296874956e-01 9.129090930175781438e+00 -2.593994140625000000e+00 5.187988281250000000e-01 4.516601562500000000e+00
3.046449184417724609e+00 3.314176470588235190e+01 -1.723825195312500003e-01 -3.016694091796874866e-01 9.203311181640623673e+00 -2.655029296875000000e+00 9.155273437500000000e-02 4.119873046875000000e+00
3.126665830612182617e+00 3.318882352941176350e+01 -1.723825195312500003e-01 -1.101332763671874909e-01 9.196128576660155929e+00 -2.777099609375000000e+00 5.798339843750000000e-01 4.302978515625000000e+00
3.217045068740844727e+00 3.323588235294117510e+01 -3.112462158203124774e-02 -9.576806640624999090e-02 9.255983618164062676e+00 -2.502441406250000000e+00 7.629394531250000000e-01 4.547119140625000000e+00
3.294779062271118164e+00 3.328294117647058670e+01 -2.418143676757812388e-01 -1.508347045898437433e-01 9.100360510253905133e+00 -2.227783203125000000e+00 -6.866455078125000000e+00 4.364013671875000000e+00
3.382156133651733398e+00 3.318882352941176350e+01 -1.819593261718749910e-01 -5.506663818359374546e-02 9.133879333496093267e+00 -2.319335937500000000e+00 -7.476806640625000000e+00 4.241943359375000000e+00
3.459954500198364258e+00 3.323588235294117510e+01 -1.795651245117187433e-01 -1.915361328124999818e-01 8.927977990722656187e+00 -2.410888671875000000e+00 7.019042968750000000e-01 4.547119140625000000e+00
3.531730890274047852e+00 3.318882352941176350e+01 -2.106897460937499911e-01 -1.197100830078124886e-02 9.162609753417967795e+00 -2.258300781250000000e+00 1.312255859375000000e+00 4.272460937500000000e+00
3.621430635452270508e+00 3.332999999999999829e+01 -2.106897460937499911e-01 -1.484405029296874956e-01 9.105148913574218739e+00 -2.990722656250000000e+00 1.495361328125000000e+00 4.028320312500000000e+00
3.713672161102294922e+00 3.318882352941176350e+01 -1.963245361328124772e-01 -2.825157958984375051e-01 9.069235888671874690e+00 -2.380371093750000000e+00 8.544921875000000000e-01 4.547119140625000000e+00
3.783678054809570312e+00 3.323588235294117510e+01 -2.346317626953124957e-01 -1.747767211914062480e-01 9.085995300292967869e+00 -2.563476562500000000e+00 7.293701171875000000e+00 4.302978515625000000e+00
3.883835077285766602e+00 3.323588235294117510e+01 -2.657563842773437157e-01 -2.681505859374999634e-01 9.165003955078123710e+00 -2.532958984375000000e+00 -3.051757812500000000e-02 3.997802734375000000e+00
3.972366333007812500e+00 3.323588235294117510e+01 -2.130839477539062388e-01 -2.992752075195312389e-01 9.057264880371093341e+00 -2.563476562500000000e+00 1.220703125000000000e-01 3.601074218750000000e+00
4.050439834594726562e+00 3.332999999999999829e+01 -6.464344482421874316e-02 -1.412578979492187525e-01 9.301473449707030383e+00 -2.166748046875000000e+00 7.751464843750000000e+00 3.662109375000000000e+00
4.145668506622314453e+00 3.328294117647058670e+01 -1.675941162109374771e-01 -1.604115112304687341e-01 9.217676391601562713e+00 -2.624511718750000000e+00 4.882812500000000000e-01 3.845214843750000000e+00
4.225034713745117188e+00 3.328294117647058670e+01 -2.394201660156249772e-02 -1.723825195312500003e-01 9.337386474609374432e+00 -1.953125000000000000e+00 9.460449218750000000e-01 3.601074218750000000e+00
4.299690246582031250e+00 3.328294117647058670e+01 -1.891419311523437341e-01 -7.182604980468750011e-03 9.155427148437500051e+00 -2.014160156250000000e+00 7.781982421875000000e+00 3.356933593750000000e+00
4.394318580627441406e+00 3.332999999999999829e+01 -2.992752075195312389e-01 -1.436520996093750002e-01 9.131485131835937352e+00 -2.471923828125000000e+00 -7.781982421875000000e+00 3.723144531250000000e+00
4.454901933670043945e+00 3.328294117647058670e+01 -2.059013427734374957e-01 -1.675941162109374771e-01 9.160215551757811880e+00 -2.349853515625000000e+00 0.000000000000000000e+00 3.875732421875000000e+00
4.545278787612915039e+00 3.332999999999999829e+01 -1.939303344726562295e-01 -9.097966308593749551e-02 9.153032946777342360e+00 -2.288818359375000000e+00 -7.781982421875000000e+00 3.265380859375000000e+00
4.631086349487304688e+00 3.332999999999999829e+01 -1.436520996093750002e-01 -2.705447875976562111e-01 9.244012609863281327e+00 -2.471923828125000000e+00 -2.441406250000000000e-01 3.906250000000000000e+00
4.694367170333862305e+00 3.328294117647058670e+01 -3.016694091796874866e-01 -1.699883178710937526e-01 9.186551770019530494e+00 -2.532958984375000000e+00 1.495361328125000000e+00 3.448486328125000000e+00
4.790135622024536133e+00 3.337705882352940989e+01 -2.992752075195312389e-01 -2.130839477539062388e-01 9.085995300292967869e+00 -2.899169921875000000e+00 7.324218750000000000e-01 3.295898437500000000e+00
4.871075630187988281e+00 3.328294117647058670e+01 -2.011129394531250003e-01 -1.771709228515624956e-01 9.287108239746093119e+00 -2.746582031250000000e+00 -6.408691406250000000e-01 3.417968750000000000e+00
4.950297594070434570e+00 3.337705882352940989e+01 -2.059013427734374957e-01 -2.681505859374999634e-01 9.169792358398437315e+00 -2.502441406250000000e+00 3.356933593750000000e-01 3.692626953125000000e+00
5.027982234954833984e+00 3.332999999999999829e+01 -2.274491577148437249e-01 -1.819593261718749910e-01 9.263166223144530420e+00 -2.655029296875000000e+00 4.272460937500000000e-01 3.265380859375000000e+00
5.117789506912231445e+00 3.337705882352940989e+01 -2.130839477539062388e-01 -1.053448730468749955e-01 8.918401184082030753e+00 -2.105712890625000000e+00 -7.415771484375000000e+00 2.929687500000000000e+00
5.190995454788208008e+00 3.332999999999999829e+01 -1.580173095703124864e-01 -1.436520996093750002e-02 9.050082275390623820e+00 -2.258300781250000000e+00 3.356933593750000000e-01 3.204345703125000000e+00
5.281571388244628906e+00 3.328294117647058670e+01 -1.604115112304687341e-01 -2.920926025390624958e-01 9.097966308593749218e+00 -2.868652343750000000e+00 7.568359375000000000e+00 2.899169921875000000e+00
5.354167699813842773e+00 3.332999999999999829e+01 -2.202665527343749818e-01 -4.070142822265624544e-02 9.023746057128905207e+00 -1.983642578125000000e+00 6.408691406250000000e-01 3.051757812500000000e+00
5.448191642761230469e+00 3.332999999999999829e+01 -2.106897460937499911e-01 -2.561795776367187250e-01 9.179369165039062750e+00 -2.075195312500000000e+00 1.525878906250000000e-01 3.356933593750000000e+00
5.518348693847656250e+00 3.328294117647058670e+01 -2.130839477539062388e-01 -2.226607543945312295e-01 9.131485131835937352e+00 -2.532958984375000000e+00 1.525878906250000000e-01 3.814697265625000000e+00
5.617309808731079102e+00 3.332999999999999829e+01 -2.011129394531250003e-01 -7.182604980468750011e-03 9.157821350097655966e+00 -2.227783203125000000e+00 1.220703125000000000e-01 2.929687500000000000e+00
5.695981264114379883e+00 3.342411764705882149e+01 -1.963245361328124772e-01 -1.675941162109374771e-02 9.109937316894530568e+00 -2.410888671875000000e+00 7.049560546875000000e+00 3.021240234375000000e+00
5.768698215484619141e+00 3.328294117647058670e+01 -2.370259643554687434e-01 -1.580173095703124864e-01 9.153032946777342360e+00 -2.502441406250000000e+00 6.103515625000000000e-02 3.265380859375000000e+00
