# time	Temp	AccX	AccY	AccZ	GyrX	GyrY	GyrZ
3.129100799560546875e-02 3.290647058823529392e+01 -2.298433593750000004e-01 -1.436520996093750002e-02 9.050082275390623820e+00 -2.075195312500000000e+00 3.570556640625000000e+00 4.455566406250000000e+00
1.565957069396972656e-01 3.295352941176470551e+01 -1.723825195312500003e-01 -9.097966308593749551e-02 9.150638745117186446e+00 -2.441406250000000000e+00 -1.220703125000000000e+00 4.272460937500000000e+00
3.360555171966552734e-01 3.300058823529411711e+01 -2.346317626953124957e-01 -9.576806640624999090e-02 9.078812695312500125e+00 -2.105712890625000000e+00 -2.136230468750000000e-01 4.150390625000000000e+00
4.161608219146728516e-01 3.300058823529411711e+01 -2.466027709960937342e-01 -6.224924316406249547e-02 9.306261853027343989e+00 -2.410888671875000000e+00 -2.105712890625000000e+00 3.723144531250000000e+00
5.110187530517578125e-01 3.300058823529411711e+01 -2.442085693359374865e-01 -6.464344482421874316e-02 9.191340173339842323e+00 -2.227783203125000000e+00 1.556396484375000000e+00 4.211425781250000000e+00
5.823926925659179688e-01 3.295352941176470551e+01 -2.346317626953124957e-01 -2.513911743164062296e-01 9.119514123535156003e+00 -2.624511718750000000e+00 2.075195312500000000e+00 4.241943359375000000e+00
6.758506298065185547e-01 3.304764705882352871e+01 -3.327940307617187066e-01 -7.900865478515624318e-02 9.074024291992186519e+00 -2.288818359375000000e+00 2.319335937500000000e+00 4.791259765625000000e+00
7.475981712341308594e-01 3.309470588235294031e+01 -1.771709228515624956e-01 -6.703764648437499085e-02 9.191340173339842323e+00 -2.288818359375000000e+00 -3.356933593750000000e-01 4.516601562500000000e+00
8.239629268646240234e-01 3.309470588235294031e+01 -2.442085693359374865e-01 -1.077390747070312432e-01 9.133879333496093267e+00 -2.410888671875000000e+00 -1.190185546875000000e+00 4.760742187500000000e+00
9.245343208312988281e-01 3.314176470588235190e+01 -2.346317626953124957e-01 -1.221042846679687432e-01 9.215282189941405022e+00 -2.288818359375000000e+00 -2.746582031250000000e-01 4.760742187500000000e+00
9.972074031829833984e-01 3.309470588235294031e+01 -2.154781494140624865e-01 -5.985504150390624778e-02 9.090783703613281475e+00 -2.655029296875000000e+00 -1.403808593750000000e+00 4.455566406250000000e+00
1.070380926132202148e+00 3.318882352941176350e+01 -2.394201660156249911e-01 -2.896984008789062481e-01 9.332598071289062602e+00 -2.563476562500000000e+00 1.342773437500000000e+00 4.516601562500000000e+00
1.160385847091674805e+00 3.323588235294117510e+01 -2.154781494140624865e-01 -6.943184814453125242e-02 9.217676391601562713e+00 -2.685546875000000000e+00 3.356933593750000000e-01 4.455566406250000000e+00
